artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
0.143,0.989,0.727,0.700,0.162,0.286,0.332,0.321,0.393,0.340,0.448,0.162,0.468,0.658,0.215,0.432,0.010,0.000,0.255,0.113
0.143,0.989,1.000,0.633,0.068,0.259,0.158,0.070,0.269,0.082,0.241,0.204,0.730,0.753,0.581,0.727,0.052,0.000,0.074,0.081
0.000,1.000,0.455,0.700,0.006,0.136,0.012,0.018,0.058,0.018,0.069,0.098,0.234,0.616,0.387,0.795,0.340,0.000,0.287,0.065
0.000,0.484,0.000,0.000,0.588,0.374,0.542,0.446,0.236,0.001,0.017,0.000,0.262,0.342,0.495,0.727,0.443,0.000,0.128,0.032
0.143,0.989,0.273,0.700,0.052,0.204,0.162,0.089,0.349,0.073,0.000,0.121,0.255,0.151,0.301,0.545,0.804,0.000,0.181,0.016
0.143,1.000,0.455,0.733,0.004,0.061,0.011,0.013,0.022,0.026,0.034,0.076,0.461,0.548,0.344,0.284,0.784,0.000,0.340,0.113
0.000,1.000,0.545,0.200,0.002,0.116,0.011,0.024,0.262,0.005,0.000,0.008,0.546,0.370,0.172,0.625,0.010,0.000,0.096,0.016
0.143,0.978,0.545,0.267,0.322,0.245,0.720,0.732,0.360,0.819,0.534,0.000,0.745,0.493,0.473,0.761,0.041,0.000,0.074,0.048
0.143,1.000,0.182,0.067,0.039,0.299,0.060,0.119,0.273,0.113,0.190,0.339,0.418,0.753,0.710,0.670,0.031,0.011,0.085,0.032
0.000,0.946,0.909,0.233,0.337,0.361,0.780,0.655,0.455,0.002,0.000,0.000,0.319,0.370,0.441,0.364,0.773,0.000,0.085,0.016
0.143,0.989,0.364,0.167,0.167,0.293,0.389,0.155,0.436,0.145,0.448,0.051,0.191,0.932,0.419,0.705,0.093,0.000,0.064,0.097
0.000,0.914,0.455,0.700,0.114,0.361,0.045,0.223,0.538,0.003,0.379,0.002,0.362,0.808,0.387,0.648,0.402,0.560,0.234,0.081
0.143,0.882,0.455,0.633,0.012,0.340,0.016,0.001,0.189,0.008,0.000,0.001,0.454,0.548,0.860,0.830,0.722,0.088,0.064,0.081
0.000,1.000,0.182,0.767,0.027,0.082,0.042,0.085,0.353,0.036,0.000,0.450,0.234,0.658,0.677,0.580,0.196,0.000,0.096,0.016
